역명,호선,위도,경도
샛강,신림,37.51715099617103,126.92949511440425
대방(성애병원),신림,37.51302197258486,126.92554017518773
서울지방병무청,신림,37.506028336724505,126.92267441513674
보라매,신림,37.49986380893415,126.92019280587613
보라매공원,신림,37.49521329003488,126.91825273797332
보라매병원(전문건설회관),신림,37.49280216609114,126.92359268240538
당곡,신림,37.49017371989295,126.9275529771196
신림,신림,37.48491306754554,126.92959326054164
서원,신림,37.47821158950264,126.93308169642698
서울대벤처타운,신림,37.47194107329665,126.93399166552521
관악산(서울대),신림,37.468991450151215,126.94511767812193
